date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,136.7899932861328,137.52999877929688,136.6699981689453,137.00999450683594,129.8964080810547,11034100
2020-01-03,138.27000427246094,139.16000366210938,137.8800048828125,139.1199951171875,131.8968505859375,12366000
2020-01-06,139.69000244140625,139.7100067138672,138.14999389648438,138.3300018310547,131.1479034423828,11369800
2020-01-07,138.22000122070312,138.47000122070312,137.63999938964844,137.64999389648438,130.503173828125,8381200
2020-01-08,137.92999267578125,138.30999755859375,136.32000732421875,136.74000549316406,129.64048767089844,10621700
2020-01-09,136.0,137.44000244140625,135.91000366210938,137.22000122070312,130.09552001953125,7411500
2020-01-10,137.6699981689453,138.47000122070312,137.6300048828125,138.44000244140625,131.252197265625,8776000
2020-01-13,137.8800048828125,138.08999633789062,137.38999938964844,138.02000427246094,130.85400390625,5966900
2020-01-14,138.17999267578125,138.82000732421875,138.13999938964844,138.72999572753906,131.527099609375,13920300
2020-01-15,139.52000427246094,139.75999450683594,139.02000427246094,139.64999389648438,132.3993377685547,6290500
2020-01-16,139.25999450683594,139.52999877929688,138.74000549316406,139.2100067138672,131.9822235107422,6798600
2020-01-17,137.5800018310547,138.13999938964844,137.36000061035156,138.02000427246094,130.85400390625,9693100
2020-01-21,138.80999755859375,139.64999389648438,138.77000427246094,139.47000122070312,132.2286834716797,6794900
2020-01-22,139.72000122070312,140.13999938964844,139.58999633789062,139.9600067138672,132.69325256347656,6317000
2020-01-23,140.85000610351562,141.3800048828125,140.77999877929688,140.94000244140625,133.62240600585938,9747400
2020-01-24,141.4199981689453,142.5500030517578,141.3000030517578,142.0800018310547,134.70318603515625,8585000
2020-01-27,143.9499969482422,144.2899932861328,143.5,144.2899932861328,136.79844665527344,10935200
2020-01-28,143.92999267578125,144.08999633789062,142.82000732421875,143.16000366210938,135.7271270751953,10612900
2020-01-29,143.44000244140625,144.6999969482422,143.42999267578125,144.55999755859375,137.05447387695312,9566800
2020-01-30,144.89999389648438,145.6699981689453,144.2899932861328,144.5800018310547,137.07339477539062,14711800
2020-01-31,145.1699981689453,145.99000549316406,145.08999633789062,145.89999389648438,138.32484436035156,14538100
